ticketnumber,title,createdon,msdfm_productname,msdfm_rootcausedescription,msdfm_customerstatement,msdfm_resolution,msdfm_fullpath
130012401,Front Door routing latency between regions,2/15/2024,Azure Front Door,Improper health probe configuration caused delayed failover during regional latency spikes,Customer observed longer response times when Region 1 experienced high load,Updated health probe intervals and configured Front Door with performance-based routing,Azure/Networking/FrontDoor
130012402,Web App authentication failures with Entra ID,3/1/2024,Microsoft Entra ID,Misconfigured app registration redirect URIs caused authentication loop errors,Users unable to log in to the web application intermittently,Corrected redirect URIs and verified token issuance policy synchronization,Azure/Security/EntraID
130012403,SQL replication lag across regions,3/22/2024,Azure SQL Database,High transaction volume exceeded replication throughput between Region 1 and Region 2,Customer noticed stale data in failover region,Enabled readable secondaries and optimized replication topology with auto-failover group,Azure/Database/SQL
130012404,App Configuration update delay across regions,4/12/2024,Azure App Configuration,"Global endpoint not properly synchronized, leading to version mismatches between regions",Customer reported inconsistent feature flag states across web apps,Implemented distributed cache sync and used regional replica endpoints,Azure/Configuration/AppConfiguration
130012405,Key Vault access denied during rotation,5/3/2024,Azure Key Vault,Identity-based access control misalignment after key rotation,Applications failed to retrieve secrets during deployment pipeline execution,Synchronized managed identities and verified key versioning with continuous access evaluation,Azure/Security/KeyVault
130012406,Redis connection timeout under peak load,6/18/2024,Azure Cache for Redis,Connection pool exhaustion due to under-provisioned tier and high concurrent requests,Web API response times increased significantly under load test,Upgraded Redis tier and implemented connection multiplexing in backend services,Azure/Cache/Redis
130012407,Application Insights ingestion limit reached,7/21/2024,Azure Monitor,High telemetry volume from both regions exceeded daily ingestion quota,Customer reported missing logs and incomplete performance traces,Increased ingestion quota and added adaptive sampling policy in SDK configuration,Azure/Monitoring/ApplicationInsights
130012408,Private endpoint DNS resolution failure,8/30/2024,Azure DNS,"DNS zone not linked correctly to VNet, breaking private endpoint resolution",Customer unable to connect to SQL and Storage through private endpoints,Linked DNS zones to both VNets and verified record propagation across regions,Azure/Networking/DNS
130012409,Application Gateway certificate mismatch,9/10/2024,Azure Application Gateway,Expired certificate in Key Vault was not updated on gateway listener,Users encountered SSL/TLS errors when accessing regional endpoints,Renewed certificates and automated Key Vault secret synchronization with gateway,Azure/Networking/ApplicationGateway
130012410,Cross-region Redis cache data inconsistency,10/28/2024,Azure Cache for Redis,Geo-replication failed due to link bandwidth constraints during large key transfers,Customer observed stale cache entries after region failover test,Enabled persistence and reconfigured geo-replication with increased bandwidth allocation,Azure/Cache/Redis
